division,date,zhvi,hpi,unemployment_rate,total_population,median_income,bachelors_pct,total_households,construction_permits,rental_vacancy_rate
Middle Atlantic,2014-05-01,142333.1023282487,198.65,6.3,25391999.0,64208.19563430197,36.51477696182959,15401762.0,89543.0,5.349322150459089
Middle Atlantic,2014-06-01,142550.48222491113,200.23000000000002,6.1,25391999.0,64208.19563430197,36.51477696182959,15401762.0,89543.0,5.349322150459089
Middle Atlantic,2014-07-01,142735.19211059203,199.83499999999998,6.2,25391999.0,64208.19563430197,36.51477696182959,15401762.0,89543.0,5.349322150459089
Middle Atlantic,2014-08-01,142734.78504411998,200.46,6.1,25391999.0,64208.19563430197,36.51477696182959,15401762.0,89543.0,5.349322150459089
Middle Atlantic,2014-09-01,142606.48484776716,198.46,5.9,25391999.0,64208.19563430197,36.51477696182959,15401762.0,89543.0,5.349322150459089
Middle Atlantic,2014-10-01,142108.06494172828,198.935,5.7,25391999.0,64208.19563430197,36.51477696182959,15401762.0,89543.0,5.349322150459089
Middle Atlantic,2014-11-01,141681.0778159126,199.385,5.8,25391999.0,64208.19563430197,36.51477696182959,15401762.0,89543.0,5.349322150459089
Middle Atlantic,2014-12-01,141419.6174177,199.995,5.6,25391999.0,64208.19563430197,36.51477696182959,15401762.0,89543.0,5.349322150459089
Middle Atlantic,2015-01-01,141298.09669872487,198.825,5.7,25495084.0,66225.27764976182,37.21235765294988,15410624.0,128025.0,5.187050856640431
Middle Atlantic,2015-02-01,141215.4715830345,198.8,5.5,25495084.0,66225.27764976182,37.21235765294988,15410624.0,128025.0,5.187050856640431
Middle Atlantic,2015-03-01,141289.4115765313,200.63,5.4,25495084.0,66225.27764976182,37.21235765294988,15410624.0,128025.0,5.187050856640431
Middle Atlantic,2015-04-01,141669.36104069874,200.89499999999998,5.4,25495084.0,66225.27764976182,37.21235765294988,15410624.0,128025.0,5.187050856640431
Middle Atlantic,2015-05-01,142216.6272899906,203.0,5.6,25495084.0,66225.27764976182,37.21235765294988,15410624.0,128025.0,5.187050856640431
Middle Atlantic,2015-06-01,142723.1062092751,204.23,5.3,25495084.0,66225.27764976182,37.21235765294988,15410624.0,128025.0,5.187050856640431
Middle Atlantic,2015-07-01,143259.92028232923,205.54500000000002,5.2,25495084.0,66225.27764976182,37.21235765294988,15410624.0,128025.0,5.187050856640431
Middle Atlantic,2015-08-01,143879.33905067825,205.64,5.1,25495084.0,66225.27764976182,37.21235765294988,15410624.0,128025.0,5.187050856640431
Middle Atlantic,2015-09-01,144480.47260801826,204.775,5.0,25495084.0,66225.27764976182,37.21235765294988,15410624.0,128025.0,5.187050856640431
Middle Atlantic,2015-10-01,144948.68175295956,205.05,5.0,25495084.0,66225.27764976182,37.21235765294988,15410624.0,128025.0,5.187050856640431
Middle Atlantic,2015-11-01,145137.0573615689,203.95,5.1,25495084.0,66225.27764976182,37.21235765294988,15410624.0,128025.0,5.187050856640431
Middle Atlantic,2015-12-01,145321.91401234537,204.3,5.0,25495084.0,66225.27764976182,37.21235765294988,15410624.0,128025.0,5.187050856640431
Middle Atlantic,2016-01-01,145567.70062878664,203.29000000000002,4.8,25461820.0,68627.47207945072,37.907341034537204,15423130.0,83807.0,5.071971127538366
